City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Caravelas,BR,71.47,moderate rain,-17.71,-39.25,Pousada dos Navegantes
4,Vao,NC,73.98,few clouds,-22.67,167.48,Hotel Kou-Bugny
6,Rikitea,PF,74.7,scattered clouds,-23.12,-134.97,Pension Maro'i
8,Harper,LR,82.18,light rain,4.38,-7.72,Screensaver
12,Cape Town,ZA,78.8,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
13,Maragogi,BR,83.28,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
15,Saint-Philippe,RE,75.2,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
16,Sao Filipe,CV,81.19,clear sky,14.9,-24.5,Tortuga B&B
21,Livingstonia,MW,73.54,light rain,-10.61,34.11,Stone House Guest House
24,Hermanus,ZA,78.01,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
25,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
29,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
30,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
31,Butaritari,KI,82.22,scattered clouds,3.07,172.79,Isles Sunset Lodge
33,Honiara,SB,75.2,few clouds,-9.43,159.95,Heritage Park Hotel
38,Road Town,VG,84.2,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
45,Bambous Virieux,MU,75.2,scattered clouds,-20.34,57.76,Casa Tia Villa
48,Bourail,NC,74.03,clear sky,-21.57,165.48,Nekweta
50,Hithadhoo,MV,83.25,light rain,-0.6,73.08,Scoop Guest House
51,Ormara,PK,80.26,clear sky,25.21,64.64,
52,Tukrah,LY,71.56,scattered clouds,32.53,20.58,استراحة لاقروتا
53,Innisfail,AU,71.47,scattered clouds,-17.53,146.03,Moondarra Motel
60,Bima,ID,78.3,overcast clouds,-8.47,118.72,Lambitu Hotel
