City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Caravelas,-17.71,-39.25,71.47,93,100,13.31,BR,moderate rain,2020-11-01 13:52:38
1,Goroka,-6.08,145.39,60.94,87,77,0.92,PG,light rain,2020-11-01 13:52:38
2,Yar-Sale,66.83,70.83,32.97,96,100,18.23,RU,overcast clouds,2020-11-01 13:52:39
3,Ushuaia,-54.8,-68.3,57.34,64,49,7.67,AR,scattered clouds,2020-11-01 13:52:39
4,Vao,-22.67,167.48,73.98,85,21,18.92,NC,few clouds,2020-11-01 13:52:39
5,Tuatapere,-46.13,167.68,50.0,71,53,11.01,NZ,broken clouds,2020-11-01 13:52:39
6,Rikitea,-23.12,-134.97,74.7,81,36,9.15,PF,scattered clouds,2020-11-01 13:52:39
7,Terrace,54.52,-128.6,44.6,100,90,17.22,CA,light rain,2020-11-01 13:52:39
8,Harper,4.38,-7.72,82.18,76,47,8.46,LR,light rain,2020-11-01 13:52:39
9,Nikolskoye,59.7,30.79,39.99,91,20,8.95,RU,mist,2020-11-01 13:52:39
10,Beasain,43.05,-2.2,69.01,64,70,4.0,ES,broken clouds,2020-11-01 13:52:39
11,Punta Arenas,-53.15,-70.92,50.0,87,75,5.82,CL,broken clouds,2020-11-01 13:52:40
12,Cape Town,-33.93,18.42,78.8,41,0,16.11,ZA,clear sky,2020-11-01 13:52:40
13,Maragogi,-9.01,-35.22,83.28,68,98,12.73,BR,overcast clouds,2020-11-01 13:52:40
14,Dunmanway,51.72,-9.12,55.99,100,75,18.34,IE,moderate rain,2020-11-01 13:52:40
15,Saint-Philippe,-21.36,55.77,75.2,57,20,8.05,RE,few clouds,2020-11-01 13:52:40
16,Sao Filipe,14.9,-24.5,81.19,66,0,6.8,CV,clear sky,2020-11-01 13:52:40
17,Tsabong,-26.02,22.4,93.96,12,0,15.21,BW,clear sky,2020-11-01 13:52:40
18,Henties Bay,-22.12,14.28,57.99,85,28,7.72,NA,scattered clouds,2020-11-01 13:52:40
19,Port Macquarie,-31.43,152.92,64.0,69,61,5.99,AU,broken clouds,2020-11-01 13:52:41
20,Kokstad,-30.55,29.42,53.92,88,100,6.17,ZA,light rain,2020-11-01 13:52:41
21,Livingstonia,-10.61,34.11,73.54,63,10,7.83,MW,light rain,2020-11-01 13:52:41
22,Chokurdakh,70.63,147.92,-1.08,93,100,8.97,RU,overcast clouds,2020-11-01 13:52:41
23,Mataura,-46.19,168.86,50.0,71,91,11.01,NZ,overcast clouds,2020-11-01 13:52:41
24,Hermanus,-34.42,19.23,78.01,54,0,7.0,ZA,clear sky,2020-11-01 13:52:41
25,Vaini,-21.2,-175.2,73.4,88,75,8.05,TO,broken clouds,2020-11-01 13:52:41
26,Albany,42.6,-73.97,42.01,77,98,1.01,US,overcast clouds,2020-11-01 13:48:16
27,Olga,43.74,135.29,46.47,74,99,5.26,RU,overcast clouds,2020-11-01 13:52:42
28,Jamestown,42.1,-79.24,46.99,75,90,10.29,US,light rain,2020-11-01 13:48:59
29,Avarua,-21.21,-159.78,75.2,83,94,9.17,CK,overcast clouds,2020-11-01 13:52:42
30,Georgetown,5.41,100.34,84.2,79,20,2.24,MY,few clouds,2020-11-01 13:52:42
31,Butaritari,3.07,172.79,82.22,74,33,11.45,KI,scattered clouds,2020-11-01 13:52:42
32,Tuktoyaktuk,69.45,-133.04,4.62,94,100,3.94,CA,overcast clouds,2020-11-01 13:52:42
33,Honiara,-9.43,159.95,75.2,100,20,3.36,SB,few clouds,2020-11-01 13:52:42
34,Mar Del Plata,-38.0,-57.56,68.0,56,0,1.95,AR,clear sky,2020-11-01 13:52:42
35,Korhogo,9.45,-5.63,94.24,25,0,6.62,CI,clear sky,2020-11-01 13:52:42
36,Nardaran,40.56,50.01,62.6,88,20,11.41,AZ,few clouds,2020-11-01 13:52:42
37,Ribeira Grande,38.52,-28.7,69.8,94,75,24.16,PT,broken clouds,2020-11-01 13:52:43
38,Road Town,18.42,-64.62,84.2,70,20,14.99,VG,few clouds,2020-11-01 13:52:43
39,Miandrivazo,-19.52,45.47,96.85,24,54,12.21,MG,broken clouds,2020-11-01 13:52:43
40,Iqaluit,63.75,-68.51,6.8,84,20,4.7,CA,few clouds,2020-11-01 13:52:43
41,Castro,-24.79,-50.01,65.44,61,72,7.27,BR,broken clouds,2020-11-01 13:52:43
42,Khatanga,71.97,102.5,-1.88,90,98,6.26,RU,overcast clouds,2020-11-01 13:52:43
43,Sitka,57.05,-135.33,46.4,93,90,6.93,US,light rain,2020-11-01 13:52:43
44,Dikson,73.51,80.55,23.22,98,97,4.07,RU,overcast clouds,2020-11-01 13:52:44
45,Bambous Virieux,-20.34,57.76,75.2,53,40,14.99,MU,scattered clouds,2020-11-01 13:52:44
46,Belaya Gora,68.53,146.42,-6.66,89,100,6.67,RU,overcast clouds,2020-11-01 13:52:44
47,Urumqi,43.8,87.6,42.8,48,0,4.47,CN,clear sky,2020-11-01 13:52:44
48,Bourail,-21.57,165.48,74.03,79,2,7.58,NC,clear sky,2020-11-01 13:52:44
49,Inta,66.03,60.17,31.01,98,100,15.9,RU,overcast clouds,2020-11-01 13:52:44
50,Hithadhoo,-0.6,73.08,83.25,76,100,13.71,MV,light rain,2020-11-01 13:52:44
51,Ormara,25.21,64.64,80.26,42,0,8.59,PK,clear sky,2020-11-01 13:52:44
52,Tukrah,32.53,20.58,71.56,61,28,11.86,LY,scattered clouds,2020-11-01 13:52:44
53,Innisfail,-17.53,146.03,71.47,82,37,3.27,AU,scattered clouds,2020-11-01 13:52:45
54,Barrow,71.29,-156.79,28.4,79,90,26.4,US,light snow,2020-11-01 13:52:45
55,Estelle,29.85,-90.11,64.0,82,1,5.82,US,haze,2020-11-01 13:52:45
56,Geraldton,-28.77,114.6,57.2,93,75,10.29,AU,broken clouds,2020-11-01 13:52:45
57,Thessalon,46.25,-83.57,33.8,80,90,13.87,CA,overcast clouds,2020-11-01 13:52:45
58,Tasiilaq,65.61,-37.64,32.0,96,100,5.82,GL,overcast clouds,2020-11-01 13:52:45
59,Kapaa,22.08,-159.32,69.8,100,1,8.05,US,clear sky,2020-11-01 13:52:45
60,Bima,-8.47,118.72,78.3,81,89,3.06,ID,overcast clouds,2020-11-01 13:52:45
61,Conceicao Do Araguaia,-8.26,-49.26,83.34,74,99,2.91,BR,light rain,2020-11-01 13:52:45
62,Busselton,-33.65,115.33,54.0,89,97,6.78,AU,overcast clouds,2020-11-01 13:52:45
63,Bredasdorp,-34.53,20.04,71.6,60,0,21.92,ZA,clear sky,2020-11-01 13:52:46
64,Hobart,-42.88,147.33,57.2,76,90,6.93,AU,overcast clouds,2020-11-01 13:51:46
65,Udachnyy,66.42,112.4,-2.2,84,0,8.95,RU,clear sky,2020-11-01 13:52:46
66,Hofn,64.25,-15.21,44.6,52,20,17.22,IS,few clouds,2020-11-01 13:52:46
67,Katsuura,35.13,140.3,62.6,63,75,3.36,JP,broken clouds,2020-11-01 13:52:46
